"","Report_Year","NeighbourhoodName","Premises_Type"
"1",2014,"Cabbagetown-South St.James Town","Outside"
"2",2014,"Greenwood-Coxwell","House"
"3",2014,"Church-Yonge Corridor","Outside"
"4",2014,"Briar Hill-Belgravia","Other"
"5",2014,"Rosedale-Moore Park","Outside"
"6",2014,"Playter Estates-Danforth","Commercial"
"7",2014,"Palmerston-Little Italy","Outside"
"8",2014,"Wychwood","Apartment"
"9",2014,"Willowdale East","Outside"
"10",2014,"Church-Yonge Corridor","Outside"
"11",2014,"Blake-Jones","Outside"
"12",2014,"South Riverdale","Other"
"13",2014,"Victoria Village","Apartment"
"14",2014,"Blake-Jones","Educational"
"15",2014,"Church-Yonge Corridor","Apartment"
"16",2014,"High Park North","House"
"17",2014,"Clairlea-Birchmount","Apartment"
"18",2014,"Cabbagetown-South St.James Town","House"
"19",2014,"Rockcliffe-Smythe","House"
"20",2014,"Blake-Jones","Other"
"21",2014,"Blake-Jones","House"
"22",2014,"Church-Yonge Corridor","Outside"
"23",2014,"Little Portugal","Apartment"
"24",2014,"Niagara","Outside"
"25",2014,"Waterfront Communities-The Island","Outside"
"26",2014,"Church-Yonge Corridor","Outside"
"27",2014,"Moss Park","House"
"28",2014,"Church-Yonge Corridor","Outside"
"29",2014,"Dovercourt-Wallace Emerson-Junction","Commercial"
"30",2014,"Church-Yonge Corridor","Outside"
"31",2014,"Church-Yonge Corridor","Outside"
"32",2014,"Dufferin Grove","Other"
"33",2014,"South Parkdale","Outside"
"34",2014,"Bay Street Corridor","Educational"
"35",2014,"Waterfront Communities-The Island","Apartment"
"36",2014,"Mount Pleasant West","Outside"
"37",2014,"Oakwood Village","House"
"38",2014,"Waterfront Communities-The Island","Outside"
"39",2014,"Rosedale-Moore Park","Outside"
"40",2014,"Leaside-Bennington","Other"
"41",2014,"Rouge","Transit"
"42",2014,"Church-Yonge Corridor","Apartment"
"43",2014,"Old East York","House"
"44",2014,"Church-Yonge Corridor","Outside"
"45",2014,"Bay Street Corridor","Other"
"46",2014,"Bay Street Corridor","Apartment"
"47",2014,"Briar Hill-Belgravia","Other"
"48",2014,"Niagara","Outside"
"49",2014,"Kensington-Chinatown","Outside"
